'HubAveraging.supported_total' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.graph_cut_residual' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.energy_dot' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.orthogonal_dot' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.hermitian_polynomial_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.hermitian_threshold_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.laplacian_matrix' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.lapQuadratic_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.lap_eigenvalue_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.centered_zero_eigen_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.centered_graph_threshold' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.localFormula_b' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.uniform_permutation_SH' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.hubMeanLoss_permutation' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.hubMeanLoss_local_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.action_count_regular' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.uniform_policy_loss' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.uniform_graph_operator' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.centeredState_total' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.centeredState_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.laplacian_centeredState' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.laplacian_total' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.lapQuadratic_centeredState' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.graph_threshold_all' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.action_energy_disagreement_loss' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.uniform_expected_residual' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.uniform_ratio_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.exact_bipartite_minimax' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.cutCap_le_maximum' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.cutMaximum_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.arbitrary_random_cut_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.lap_eigenvector_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.lap_eigenvector_centered' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.lap_eigenvector_moments' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.uniform_eigenvector_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.graph_interval_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.uniform_endpoint_formula' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.exists_nonzero_lap_eigenvalue' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.exists_uniform_spectral_endpoints' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.graph_poincare' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.edgeResidual_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
